# FORMAT_VERSION,1.0
# SAMPLE_RATE_HZ,200
# NUM_CHANNELS,8
# SUBJECT_ID,SYNTH_001
# GESTURE_LABELS,rest,fist,open_hand,pinch,point,thumbs_up,peace,ok
# DURATION_S,10.0
# NOTES,Synthetic data generated for unit testing
timestamp_ms,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,gesture_label,gesture_id
0.0,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,rest,0
5.0,-0.000009,-0.000462,0.000476,0.000421,0.000036,0.000611,0.000253,-0.000466,rest,0
10.0,0.000778,-0.002022,0.001852,-0.000105,-0.000390,-0.001436,0.002578,-0.000326,rest,0
15.0,-0.001941,-0.001595,0.002412,0.001656,0.001870,0.001952,0.009703,-0.001841,rest,0
20.0,-0.003865,-0.006140,0.004648,0.008518,-0.000860,-0.006339,-0.006221,0.004909,rest,0
25.0,0.008046,0.005880,-0.007205,0.002513,0.001263,0.002367,0.009434,0.002421,rest,0
30.0,0.009516,0.000947,0.004053,0.008849,-0.020425,-0.004481,-0.006593,-0.008955,rest,0
35.0,-0.004615,0.025074,-0.014522,0.016241,-0.028226,-0.005617,0.002730,0.009833,rest,0
40.0,0.013367,0.014911,-0.006554,-0.008690,0.016125,-0.003596,-0.023976,-0.021300,rest,0
45.0,-0.018264,0.009875,0.002829,0.013716,-0.008487,0.003149,0.012426,-0.006145,rest,0
50.0,0.009073,-0.013148,-0.007212,-0.007583,-0.023754,0.009673,-0.009324,0.000248,rest,0
55.0,0.009036,0.008392,0.012506,-0.001851,-0.007956,-0.001498,-0.031713,-0.027198,rest,0
60.0,-0.022185,-0.016727,0.006705,-0.015187,-0.006343,0.021792,-0.005976,0.012370,rest,0
65.0,-0.013086,-0.002880,-0.013316,-0.004752,0.011779,-0.024212,0.006089,0.003332,rest,0
70.0,-0.006432,-0.015655,0.000781,-0.005732,0.002519,0.000237,0.017341,-0.002591,rest,0
75.0,-0.007722,0.001353,0.001660,0.010255,0.006301,0.002693,0.011041,-0.008969,rest,0
80.0,-0.002898,-0.004198,-0.001766,-0.006237,0.002878,-0.001007,-0.006664,-0.004601,rest,0
85.0,0.000661,0.001767,0.004210,0.006144,0.000874,-0.002087,-0.004496,0.000564,rest,0
90.0,-0.000440,-0.000225,-0.000332,-0.000076,0.000578,0.000085,-0.000086,-0.000561,rest,0
95.0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,rest,0
100.0,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,fist,1
105.0,0.003186,0.003112,0.000497,0.000653,0.000715,0.000136,0.000798,0.000396,fist,1
110.0,0.018534,0.013637,0.001392,0.002810,0.000510,0.000762,-0.002281,-0.000394,fist,1
115.0,0.027736,0.020922,-0.000644,0.005782,0.005224,-0.004043,0.006813,-0.002391,fist,1
120.0,0.061880,0.044123,0.012235,0.007748,0.009742,-0.002889,0.001968,-0.002529,fist,1
125.0,0.073403,0.087346,0.016770,-0.014241,-0.001410,-0.002899,0.012315,-0.000121,fist,1
130.0,0.134877,0.084338,0.008040,0.012243,0.017177,0.053256,-0.008673,-0.009303,fist,1
135.0,0.165907,0.109754,-0.000638,0.001572,0.011605,0.055457,0.044645,0.017986,fist,1
140.0,0.193968,0.168242,0.033878,-0.018906,0.062777,0.006157,0.054008,0.039112,fist,1
145.0,0.240418,0.227583,0.028599,0.081150,0.045191,0.009196,0.055744,-0.033845,fist,1
150.0,0.258827,0.234535,-0.034251,0.097951,0.040246,-0.021812,-0.037023,0.027052,fist,1
155.0,0.351419,0.333797,0.026738,0.095245,0.054904,-0.061592,0.069799,0.019443,fist,1
160.0,0.347863,0.351211,0.048063,0.047694,0.079820,0.027532,0.055802,0.052369,fist,1
165.0,0.338964,0.388009,-0.016482,0.118538,0.112009,-0.022371,-0.058816,0.036724,fist,1
170.0,0.365476,0.403483,0.053207,0.041598,0.016343,0.035271,0.039225,-0.054106,fist,1
175.0,0.492911,0.556212,-0.058038,0.057896,0.014576,-0.068206,0.069208,-0.044579,fist,1
180.0,0.623976,0.400025,0.144750,-0.034577,0.173793,-0.010110,0.087172,0.048301,fist,1
185.0,0.540282,0.278127,0.143841,0.078488,0.064332,0.059414,0.061613,0.127009,fist,1
190.0,0.532656,0.569938,0.029366,0.054034,-0.013153,0.078145,0.072234,-0.125288,fist,1
195.0,0.571937,0.412714,0.078948,-0.054124,0.135285,0.083263,0.167617,0.077532,fist,1
200.0,0.654480,0.458630,-0.142794,0.045904,0.137070,-0.055639,0.148083,0.145170,fist,1
205.0,0.567551,0.554764,-0.042508,0.043622,-0.022457,0.118375,-0.179364,0.037758,fist,1
210.0,0.517126,0.321819,0.026498,0.193805,0.118359,-0.014017,0.024605,0.094016,fist,1
215.0,0.638503,0.349868,-0.035771,0.121537,0.158847,0.100629,0.036828,-0.006246,fist,1
220.0,0.584301,0.321898,0.107152,0.050916,0.129951,0.049149,-0.090168,0.040451,fist,1
225.0,0.672861,0.386469,0.209784,0.069903,0.150559,-0.060111,0.057535,-0.079673,fist,1
230.0,0.564659,0.485171,-0.044129,0.053537,-0.012342,0.024704,0.149901,-0.137547,fist,1
235.0,0.452042,0.491935,-0.016997,0.033767,0.126483,0.079229,-0.036925,0.125421,fist,1
240.0,0.440547,0.472102,0.068836,-0.036594,0.075790,0.099037,0.076912,-0.028800,fist,1
245.0,0.682074,0.336979,0.178889,0.037916,0.061377,0.038721,-0.023266,0.013558,fist,1
250.0,0.687893,0.265192,-0.047790,-0.009688,0.169644,0.172542,-0.003753,-0.060915,fist,1
255.0,0.535638,0.454348,0.069923,-0.050025,0.218342,0.130601,0.168191,-0.062798,fist,1
260.0,0.519345,0.412258,0.195704,0.090898,0.243550,0.029468,0.006595,0.036093,fist,1
265.0,0.666916,0.486751,-0.082141,0.081301,0.205185,0.110010,0.086977,-0.008366,fist,1
270.0,0.461436,0.506156,-0.052486,-0.092937,0.091221,0.204703,-0.099697,0.080238,fist,1
275.0,0.478422,0.461059,0.016111,0.040185,0.128218,0.206839,0.198985,0.086203,fist,1
280.0,0.601466,0.510811,0.008353,0.129656,0.161346,-0.048240,0.098212,0.075668,fist,1
285.0,0.518432,0.468337,0.115008,0.134738,0.109694,-0.024123,0.035400,0.069088,fist,1
290.0,0.549590,0.492405,0.069333,0.132067,0.110461,0.168793,0.096044,0.176221,fist,1
295.0,0.536925,0.393626,-0.091997,0.053113,0.165900,-0.034662,-0.062786,-0.035408,fist,1
300.0,0.577006,0.435631,0.091233,-0.017604,0.095257,-0.055803,0.144602,0.045605,fist,1
305.0,0.662599,0.465742,0.003797,-0.036696,0.041657,0.011104,0.024081,0.140615,fist,1
310.0,0.557247,0.515642,0.151956,0.077568,0.066842,0.083618,0.033674,0.151163,fist,1
315.0,0.601515,0.418501,-0.000207,0.080342,0.150713,0.041808,0.010668,-0.063741,fist,1
320.0,0.385986,0.491693,-0.000929,0.152986,0.100239,-0.002045,0.003548,0.025012,fist,1
325.0,0.546103,0.428733,0.093291,0.137998,0.127217,-0.003937,0.105574,0.158650,fist,1
330.0,0.482542,0.440597,0.111034,0.039422,0.153606,-0.006987,0.070473,0.090646,fist,1
335.0,0.452495,0.516362,0.085848,-0.049536,0.070013,-0.020361,0.102140,0.065621,fist,1
340.0,0.479748,0.290555,-0.084848,0.024471,0.160500,0.232531,0.049296,0.032585,fist,1
345.0,0.523270,0.346282,0.093043,0.067378,0.130307,0.073801,0.091056,0.019296,fist,1
350.0,0.623272,0.331425,-0.032745,0.033833,0.001215,0.120941,0.016492,0.073058,fist,1
355.0,0.443889,0.263311,0.068822,0.003768,0.215384,0.010874,0.228379,0.029810,fist,1
360.0,0.552451,0.395739,-0.063899,0.070231,0.059940,0.035123,-0.075434,0.046594,fist,1
365.0,0.511266,0.509955,0.085706,0.009683,-0.032408,-0.007084,0.150875,0.056288,fist,1
370.0,0.523786,0.427209,-0.014528,-0.000245,0.016397,-0.162137,0.159433,-0.004246,fist,1
375.0,0.630221,0.465823,-0.052611,0.074916,0.018316,-0.060241,-0.018173,0.092570,fist,1
380.0,0.593049,0.537137,0.107106,0.017841,0.104174,-0.094849,0.228342,0.283140,fist,1
385.0,0.656992,0.556215,0.069332,0.069528,0.078092,-0.129983,0.129639,-0.092159,fist,1
390.0,0.537640,0.444469,0.000882,0.071856,0.073053,-0.045629,0.127691,0.075921,fist,1
395.0,0.494325,0.558287,0.166094,-0.041154,0.149576,0.155996,0.052242,-0.010815,fist,1
400.0,0.532091,0.457370,0.014748,0.011501,0.127190,0.046445,0.032622,0.096192,fist,1
405.0,0.569400,0.383008,0.052569,0.165022,0.125284,0.153245,0.033247,0.053725,fist,1
410.0,0.564126,0.402448,0.071513,-0.042966,0.132786,0.082879,0.081242,0.110948,fist,1
415.0,0.463249,0.331557,0.000427,-0.119332,0.149291,0.112605,0.162095,0.144041,fist,1
420.0,0.557239,0.378949,0.087691,-0.098948,-0.068636,-0.022072,0.064505,0.065394,fist,1
425.0,0.568258,0.421359,0.007324,0.052329,0.070845,0.091916,-0.022915,0.140564,fist,1
430.0,0.751398,0.514287,0.017069,0.052473,-0.074417,0.108297,0.115954,-0.137544,fist,1
435.0,0.700148,0.587662,0.159011,0.040591,0.102885,0.003868,0.123692,0.177236,fist,1
440.0,0.481741,0.339425,-0.033247,0.147135,0.099629,0.094763,0.102373,0.080005,fist,1
445.0,0.527009,0.481426,-0.143022,-0.163827,0.183643,0.095295,0.109640,0.136227,fist,1
450.0,0.432925,0.366756,0.178875,0.081675,0.195011,0.006036,0.028326,-0.047590,fist,1
455.0,0.502743,0.487976,0.253946,0.174915,0.116222,-0.039821,-0.024319,-0.016462,fist,1
460.0,0.575248,0.439513,0.017578,-0.040222,0.059971,-0.044730,-0.019455,0.061675,fist,1
465.0,0.646468,0.303528,-0.104947,0.019615,0.138813,0.056920,-0.080837,0.048637,fist,1
470.0,0.491673,0.524264,0.025161,-0.010231,0.057767,0.076161,0.068956,0.072645,fist,1
475.0,0.497668,0.401600,0.027102,-0.021548,0.099889,-0.013402,0.043324,0.136761,fist,1
480.0,0.378217,0.407288,0.034806,0.023899,0.178891,0.052127,0.014801,-0.091218,fist,1
485.0,0.536987,0.364420,-0.039071,0.164199,0.055378,0.095643,-0.186450,0.127906,fist,1
490.0,0.465007,0.397657,0.096365,0.196991,0.164454,0.099455,-0.049785,0.050663,fist,1
495.0,0.507645,0.484231,0.091961,0.023125,0.154192,0.174150,0.139667,0.033697,fist,1
500.0,0.479851,0.434860,-0.069552,0.202405,0.023617,0.152158,-0.003170,-0.067689,fist,1
505.0,0.542459,0.476293,0.105936,0.052846,0.177912,-0.030103,0.078847,0.090244,fist,1
510.0,0.409382,0.478954,0.214215,0.190295,0.155885,0.184687,-0.061255,-0.143129,fist,1
515.0,0.432636,0.555653,0.063757,0.042536,0.108154,0.007522,0.165096,0.101872,fist,1
520.0,0.720340,0.422577,0.023014,0.060485,0.039014,0.133590,0.038478,-0.069368,fist,1
525.0,0.447006,0.331851,0.038640,0.079238,0.031264,0.055439,0.073203,0.054277,fist,1
530.0,0.462257,0.535378,0.099221,0.304308,0.056987,0.017028,0.236062,0.040466,fist,1
535.0,0.696953,0.423481,-0.088454,0.118103,0.143408,-0.094616,0.171315,0.143563,fist,1
540.0,0.782405,0.539167,0.063151,-0.006581,0.023550,0.036275,0.025475,0.035708,fist,1
545.0,0.456275,0.480670,0.018763,0.127520,0.135001,-0.074751,0.002542,-0.005531,fist,1
550.0,0.520540,0.439509,0.197826,0.021053,0.000660,0.127384,0.023956,0.009472,fist,1
555.0,0.577324,0.477902,0.036066,0.010820,0.083675,0.171343,0.090792,0.151831,fist,1
560.0,0.688296,0.606081,0.183431,0.122688,0.108772,-0.013753,0.041582,0.092904,fist,1
565.0,0.471051,0.616158,-0.038299,0.052487,0.295610,0.074158,0.018380,0.019150,fist,1
570.0,0.530378,0.455550,0.096981,0.072286,-0.010185,-0.008031,0.167375,0.031084,fist,1
575.0,0.612187,0.462815,0.075552,0.051119,0.217761,-0.000279,0.040863,-0.075374,fist,1
580.0,0.584781,0.536099,-0.019524,0.076927,0.111987,0.111960,0.233967,0.081078,fist,1
585.0,0.519908,0.382347,0.064192,0.083997,0.132894,0.046917,0.057259,-0.090785,fist,1
590.0,0.539294,0.476646,0.147002,-0.104957,0.109468,0.189172,0.192825,0.110144,fist,1
595.0,0.440008,0.447931,0.024097,0.103326,0.135578,0.011421,0.078586,0.060290,fist,1
600.0,0.530946,0.475113,-0.085357,-0.028562,0.087705,0.129947,0.127037,0.240956,fist,1
605.0,0.528689,0.383330,0.048595,-0.065384,0.216324,0.057793,-0.007969,-0.038011,fist,1
610.0,0.568574,0.322835,-0.022194,0.045327,0.063482,0.113662,-0.018301,0.041787,fist,1
615.0,0.505574,0.284161,0.022613,0.056718,0.190579,0.014227,0.086776,0.193863,fist,1
620.0,0.587723,0.360609,0.043473,-0.005480,0.048451,0.046035,0.129084,0.145311,fist,1
625.0,0.631017,0.413306,-0.086452,0.116483,0.095180,0.040760,0.053221,-0.005697,fist,1
630.0,0.562434,0.426545,-0.079253,-0.057374,0.014243,-0.016885,-0.052911,0.067917,fist,1
635.0,0.578140,0.604979,0.088565,0.017445,0.136402,0.102967,-0.058821,0.050160,fist,1
640.0,0.554252,0.538479,0.008183,0.003210,0.215610,0.102020,-0.064171,0.072556,fist,1
645.0,0.550007,0.373033,-0.155180,0.046273,0.093812,0.097484,-0.091410,-0.005894,fist,1
650.0,0.492275,0.477817,0.112788,0.072309,0.084249,0.172957,0.058759,0.042854,fist,1
655.0,0.575320,0.417434,0.071790,-0.030631,0.010831,0.165948,0.140004,-0.077844,fist,1
660.0,0.542217,0.427251,-0.007110,0.107943,0.081657,0.020004,0.048927,0.060810,fist,1
665.0,0.717453,0.464826,-0.055346,0.055040,-0.027424,0.079844,-0.130833,0.086002,fist,1
